Unit of Entry;CANTIDAD;UM NORMALIZADA;EQUIVALENTE;"SIGNIFICADO ""Unit of Entry"""
06;1;PC;1;PIEZA
08;1;L;1;LITRO
BAG;1;BAG;1;BOLSA
BOT;1;BTL;1;BOTELLA
BOX;1;BOX;1;CAJA
BTL;1;BTL;1;BOTELLA
CAJA;1;BOX;1;CAJA
CCM;1;L;0.001;CENTIMETRO CUBICO
CIEN;1;PC;100;CENTENA
CTN;1;CTN;1;CAJA DE CARTON
DAY;1;DAY;1;DIAS
DECE;1;PC;10;DECENA
DOCE;1;PC;12;DOCENA
DZ;1;PC;12;DOCENA
EA;1;PC;1;ELEMENTO
FT;1;M;0.3048;PIES
G;1;KG;0.001;GRAMO
GAL;1;L;3.78541;GALON
GR;1;KG;0.001;GRAMO
GRM;1;KG;0.001;GRAMO
H;1;H;1;HORA
IN;1;M;0.0254;PULGADA
JGO;1;JUEGO;1;JUEGO
KG;1;KG;1;KILOGRAMO
KGM;1;KGM;1;KILOGRAMO/METRO CUBICO
KIT;1;KIT;1;KIT
KT;1;KT;1;KIT
L;1;L;1;LITRO
LB;1;KG;0.453592;LIBRA
LOT;1;LOT;1;NUMBER OF LOTS PROCESSED
LT;1;L;1;LITRO
M;1;M;1;METRO
MCUB;1;L;1000;METRO CUBICO
MI;1;PC;1000;MILLARES
ML;1;M;1;METRO LINEAL
MLT;1;L;0.001;MILILITRO
MM;1;M;0.001;MILIMETRO
OZ;1;L;0.0295735;ONZA
PAK;1;PC;1;PAQUETE
PAR;1;PR;1;PAR
PC;1;PC;1;PIEZA
PR;1;PR;1;PAR
PZA;1;PC;1;PIEZA
REL;1;REL;1;REEL
ROL;1;ROL;1;ROLLO
SET;1;JUEGO;1;JUEGO
SHT;1;SHT;1;TONELADA DE ENVIO
SPL;1;SPL;1;SPOOL
TUB;1;TUB;1;TUBO
YD;1;M;0.9144;YARDA
Inch;1;M;0.0254;PULGADA
M3;1;L;1000;METRO CUBICO
PAC;1;PC;1;PIEZA
PCE;1;PC;1;PIEZA
DRU;1;DRM;1;TAMBOR
MON;1;MON;1;MESES
ΜM;1;M;0.001;MILIMETRO
HR;1;HR;1;HORAS
KGS;1;KG;1;KILOGRAMOS
YR;1;YR;1;AÑOS
MO;1;MO;1;NO DETERMINADO
MEI;1;M;1609.34;MILLAS
D;1;DAY;1;DIAS
SM;1;SM;1;NO DETERMINADO
ANZ;1;ANZ;1;NO DETERMINADO
WK;1;WK;1;SEMANAS
020;1;020;1;NO DETERMINADO
BOI;1;BOI;1;NO DETERMINADO
MS2;1;MS2;1;METRO POR SEGUNDO CUADRADO
CAR;1;CAR;1;NO DETERMINADO
PP;1;PP;1;NO DETERMINADO
001;1;001;1;NO DETERMINADO
PS;1;PS;1;NO DETERMINADO
"""";1;"""";1;NO DETERMINADO
P;1;P;1;NO DETERMINADO
FL;1;FL;1;NO DETERMINADO
5D;1;5D;1;NO DETERMINADO
LH;1;LH;1;NO DETERMINADO
35H;1;35H;1;NO DETERMINADO
TO;1;KG;1000;TONELADA
CM;1;M;0.01;CENTIMETRO
PU;1;PU;1;NO DETERMINADO
VLM;1;VLM;1;NO DETERMINADO
MG;1;KG;0.000001;MILIGRAMO
PIEZA;1;PC;1;PIEZA
CIENTOS;1;PC;100;CENTENA
MILLAR;1;PC;1000;MILLARES
JUEGO;1;JUEGO;1;JUEGO
KILO;1;KG;1;KILOGRAMO
METRO LINEAL;1;M;1;METRO
METRO CUADRADO;1;M2;1;METRO CUADRADO
LITRO;1;L;1;LITRO
DECENAS;1;PC;10;DECENA
GRAMO;1;KG;0.001;GRAMO
CARAT;1;CARAT;1;NO DETERMINADO
METRO CÚBICO;1;L;1000;METRO CUBICO
ZG;1;ZG;1;NO DETERMINADO
1;1;KG;1;KG
2;1;KG;0.001;GR
3;1;M;1;M
4;1;M2;1;M2
5;1;L;1000;M3
6;1;PC;1;PC
7;1;CABEZA;1;CABEZA
8;1;L;1;L
9;1;PR;1;PR
10;1;KW;1;KILOWATT
11;1;PC;1000;MILLAR
13;1;KWH;1;KILOWATT/HORA
14;1;KG;1000;TONELADA
16;1;GRAMO NETO;1;GRAMO NETO
17;1;PC;10;DECENAS
18;1;PC;100;CIENTOS
19;1;PC;12;DOCENAS
21;1;BTL;1;BOTELLA
22;1;CARAT;1;CARAT
ST;1;PC;1;PIEZA
KI;1;KI;1;
01;1;KG;1;KILOGRAMO
02;1;KG;0.001;GRAMO
03;1;M;1;METRO
PZ;1;PC;1;PIEZA
LTR;1;L;1;LITRO
MTR;1;M;1;METRO
MT;1;M;1;METRO
ME;1;PC;1000;MIL PIEZAS
MF;1;M;304.8;MIL PIES
RL;1;ROL;1;ROLLO
LBS;1;KG;0.453592;LIBRAS
QT;1;L;0.9463525;CUARTO DE GALON
MET;1;M;1;METRO
PCS;1;PC;1;PIEZAS
LAB;1;LAB;1;
BAR;1;BARRIL;1;BARRILES
B/P;1;PC;1;TABLEROS POR PANEL
MR;1;M;1;METROS
UGL;1;L;3.78541;GALONES DE EE. UU.
PL;1;PL;1;CUBO
12;1;JUEGO;1;JUEGO O SET
20;1;BOX;1;CAJA
04;1;M2;1;M2
09;1;PR;1;PR
15;1;BARRIL;1;BARRIL
C62;1;C62;1;CADA EDICIÓN DE GM
BX;1;BX;1;
KILOWATT;1;KW;1;
CABEZA;1;CABEZA;1;
